code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600017,2014/12/31,4.61,4.68,4.57,4.65,0.006494,33565171,155777150,12232437220,14301790580,0.012759,14.916519,2014/9/30,2014/10/29,18.809628,2.812591,14.16341,1.43963,4.652698
sh600017,2014/12/30,4.8,4.8,4.6,4.62,-0.039501,50942403,237631380,12153518270,14209520960,0.019365,14.820276,2014/9/30,2014/10/29,18.688266,2.794444,14.072026,1.430342,4.622679
sh600017,2014/12/29,4.9,4.94,4.75,4.81,-0.020367,67933491,328920568,12653338280,14793895200,0.025824,15.429767,2014/9/30,2014/10/29,19.45683,2.909367,14.650745,1.489165,4.812789
sh600017,2014/12/26,4.85,5,4.74,4.91,0.018672,88304472,430536539,12916401450,15101460590,0.033568,15.750559,2014/9/30,2014/10/29,19.861346,2.969854,14.955341,1.520126,4.912849
sh600017,2014/12/25,4.67,4.84,4.67,4.82,0.03212,67092289,321045774,12679644600,14824651740,0.025504,15.461855,2014/9/30,2014/10/29,19.497293,2.915417,14.681213,1.492262,4.822797
sh600017,2014/12/24,4.66,4.74,4.6,4.67,0.002146,48280689,224923526,12285049850,14363303660,0.018353,14.980676,2014/9/30,2014/10/29,18.890529,2.824688,14.224328,1.445822,4.67271
sh600017,2014/12/23,4.61,4.74,4.51,4.66,0.008658,64854573,300195046,12258743540,14332547120,0.024654,14.948596,2014/9/30,2014/10/29,18.850077,2.818639,14.193868,1.442726,4.662704
sh600017,2014/12/22,5.02,5.05,4.6,4.62,-0.066667,116819625,557712276,12153518270,14209520960,0.044407,14.820282,2014/9/30,2014/10/29,18.688274,2.794445,14.072032,1.430342,4.622681
sh600017,2014/12/19,4.73,5.06,4.73,4.95,0.044304,150649471,741140251,13021626720,15224486750,0.057267,15.87888,2014/9/30,2014/10/29,20.023158,2.994049,15.077183,1.53251,4.952874
sh600017,2014/12/18,4.75,4.82,4.66,4.74,-0.008368,64281068,304131710,12469194070,14578599430,0.024436,15.205227,2014/9/30,2014/10/29,19.173687,2.867029,14.437542,1.467494,4.742751
sh600017,2014/12/17,4.74,4.87,4.64,4.78,0.004202,86756343,412848005,12574419330,14701625580,0.032979,15.333538,2014/9/30,2014/10/29,19.335486,2.891222,14.559375,1.479878,4.782773
sh600017,2014/12/16,4.68,4.79,4.58,4.76,0.012766,75439333,354304415,12521806700,14640112510,0.028677,15.269376,2014/9/30,2014/10/29,19.254578,2.879124,14.498452,1.473686,4.76276
sh600017,2014/12/15,4.8,4.83,4.54,4.7,-0.018789,86876514,404167336,12363968800,14455573270,0.033025,15.076905,2014/9/30,2014/10/29,19.011873,2.842833,14.315698,1.45511,4.702725
sh600017,2014/12/12,4.97,4.99,4.7,4.79,-0.036217,124670537,596935690,12600725650,14732382120,0.047392,15.365609,2014/9/30,2014/10/29,19.375927,2.897269,14.589826,1.482973,4.792777
sh600017,2014/12/11,4.9,5.23,4.85,4.97,0.020534,213589718,1073207157,13074239350,15285999820,0.081193,15.943017,2014/9/30,2014/10/29,20.104035,3.006143,15.138082,1.5387,4.972879
sh600017,2014/12/10,4.45,4.87,4.4,4.87,0.099323,181697227,847383000,12811176180,14978434430,0.06907,15.62223,2014/9/30,2014/10/29,19.699525,2.945657,14.833491,1.50774,4.872821
sh600017,2014/12/9,4.44,4.88,4.32,4.43,-0.002252,239513892,1116528978,11653698250,13625146720,0.091048,14.210774,2014/9/30,2014/10/29,17.919688,2.679519,13.493296,1.371517,4.432565
sh600017,2014/12/8,4.18,4.45,4.18,4.44,0.072464,169046301,736391077,11680004570,13655903260,0.064261,14.242849,2014/9/30,2014/10/29,17.960134,2.685567,13.523752,1.374613,4.44257
sh600017,2014/12/5,4.27,4.28,4.01,4.14,-0.034965,107584350,447598786,10890815070,12733207100,0.040897,13.280491,2014/9/30,2014/10/29,16.746608,2.504109,12.609982,1.281733,4.142395
sh600017,2014/12/4,4.18,4.3,4.15,4.29,0.023866,124480609,528452392,11285409820,13194555180,0.04732,13.761668,2014/9/30,2014/10/29,17.353368,2.594838,13.066865,1.328173,4.292482
sh600017,2014/12/3,4.16,4.24,4.12,4.19,0.004796,96764478,403394594,11022346660,12886989790,0.036784,13.440888,2014/9/30,2014/10/29,16.948866,2.534353,12.762281,1.297214,4.192426
sh600017,2014/12/2,4.13,4.2,4.11,4.17,0.009685,64304094,266811108,10969734020,12825476710,0.024444,13.376733,2014/9/30,2014/10/29,16.867968,2.522256,12.701365,1.291022,4.172415
sh600017,2014/12/1,4.2,4.22,4.11,4.13,-0.01432,60416033,251351917,10864508760,12702450560,0.022966,13.248422,2014/9/30,2014/10/29,16.706168,2.498062,12.579532,1.278638,4.132392
sh600017,2014/11/28,4.15,4.24,4.12,4.19,0.007212,73837489,309025385,11022346660,12886989790,0.028068,13.440895,2014/9/30,2014/10/29,16.948876,2.534354,12.762288,1.297214,4.192428
sh600017,2014/11/27,4.21,4.21,4.11,4.16,-0.00716,58946691,244541768,10943427710,12794720170,0.022408,13.344654,2014/9/30,2014/10/29,16.827516,2.516207,12.670905,1.287926,4.162409
sh600017,2014/11/26,4.25,4.27,4.13,4.19,-0.014118,66684094,279195420,11022346660,12886989790,0.025349,13.440891,2014/9/30,2014/10/29,16.94887,2.534353,12.762283,1.297214,4.192426
sh600017,2014/11/25,4.13,4.3,4.12,4.25,0.029056,96395314,405593646,11180184560,13071529020,0.036643,13.633366,2014/9/30,2014/10/29,17.191581,2.570646,12.945041,1.31579,4.252463
sh600017,2014/11/24,4.15,4.17,4.07,4.13,0.00978,64899868,267768135,10864508760,12702450560,0.024671,13.24842,2014/9/30,2014/10/29,16.706167,2.498062,12.579531,1.278638,4.132392
sh600017,2014/11/21,4.05,4.11,4.04,4.09,0.004914,40476785,165147228,10759283490,12579424400,0.015387,13.120106,2014/9/30,2014/10/29,16.544363,2.473867,12.457694,1.266254,4.092369
sh600017,2014/11/20,4.07,4.12,4.03,4.07,-0.014528,46165436,187461449,10706670860,12517911320,0.017549,13.055949,2014/9/30,2014/10/29,16.463461,2.46177,12.396777,1.260062,4.072357
sh600017,2014/11/19,4.11,4.24,4.03,4.13,0.007317,85193958,354442081,10864508760,12702450560,0.032385,13.248422,2014/9/30,2014/10/29,16.706169,2.498062,12.579532,1.278638,4.132392
sh600017,2014/11/18,4.05,4.17,4.04,4.1,0.01737,63437670,259869763,10785589810,12610180940,0.024115,13.152187,2014/9/30,2014/10/29,16.584817,2.479917,12.488156,1.26935,4.102375
sh600017,2014/11/17,3.94,4.09,3.92,4.03,0.022843,51429434,206857725,10601445590,12394885170,0.01955,12.927634,2014/9/30,2014/10/29,16.301658,2.437576,12.27494,1.247678,4.032334
sh600017,2014/11/14,4,4,3.9,3.94,-0.022333,45576264,179361324,10364688740,12118076320,0.017325,12.638923,2014/9/30,2014/10/29,15.937595,2.383138,12.000806,1.219814,3.94228
sh600017,2014/11/13,4.1,4.1,3.99,4.03,-0.021845,61656251,247994606,10601445590,12394885170,0.023438,12.927636,2014/9/30,2014/10/29,16.30166,2.437576,12.274942,1.247678,4.032334
sh600017,2014/11/12,4.07,4.13,3.98,4.12,0,84053633,341139699,10838202440,12671694020,0.031952,13.216347,2014/9/30,2014/10/29,16.665723,2.492014,12.549077,1.275543,4.122388
sh600017,2014/11/11,4.42,4.42,4.1,4.12,-0.074157,166262308,700447264,10838202440,12671694020,0.063202,13.216347,2014/9/30,2014/10/29,16.665723,2.492014,12.549077,1.275543,4.122388
sh600017,2014/11/10,4.15,4.48,4.11,4.45,0.080097,180931805,780709743,11706310890,13686659800,0.068779,14.274934,2014/9/30,2014/10/29,18.000593,2.691617,13.554217,1.377709,4.452578
sh600017,2014/11/7,4.17,4.19,4.06,4.12,-0.002421,83990429,345832594,10838202440,12671694020,0.031928,13.216344,2014/9/30,2014/10/29,16.665719,2.492014,12.549074,1.275542,4.122387
sh600017,2014/11/6,4.08,4.21,4.04,4.13,-0.011962,94435244,388181259,10864508760,12702450560,0.035898,13.248418,2014/9/30,2014/10/29,16.706164,2.498062,12.579529,1.278638,4.132391
sh600017,2014/11/5,4.23,4.36,4.02,4.18,-0.002387,151615602,637897397,10996040340,12856233250,0.057635,13.408815,2014/9/30,2014/10/29,16.908423,2.528305,12.731827,1.294118,4.182422
sh600017,2014/11/4,4.29,4.6,4.17,4.19,-0.030093,221585788,964363361,11022346660,12886989790,0.084233,13.440898,2014/9/30,2014/10/29,16.94888,2.534355,12.762291,1.297215,4.192429
sh600017,2014/11/3,3.98,4.34,3.95,4.32,0.093671,181129801,757930024,11364328770,13286824800,0.068854,13.857925,2014/9/30,2014/10/29,17.474747,2.612987,13.158262,1.337463,4.322506
sh600017,2014/10/31,3.98,4.05,3.84,3.95,0,209350182,827169743,10390995060,12148832860,0.079582,12.671018,2014/9/30,2014/10/29,15.978066,2.38919,12.03128,1.222911,3.952291
sh600017,2014/10/30,3.57,3.95,3.55,3.95,0.100279,250858191,978393249,10390995060,12148832860,0.09536,12.671018,2014/9/30,2014/10/29,15.978066,2.38919,12.03128,1.222911,3.952291
sh600017,2014/10/29,3.47,3.63,3.45,3.59,0.034582,81046414,288409482,9443967660,11041597460,0.030809,11.516186,2014/9/30,2014/10/29,14.521831,2.17144,10.934754,1.111456,3.592081
sh600017,2014/10/28,3.43,3.48,3.43,3.47,0.020588,25339130,87465902,9128291860,10672518990,0.009632,11.131245,2014/6/30,2014/8/19,13.421659,2.102066,10.419124,1.093086,3.472012
sh600017,2014/10/27,3.39,3.44,3.36,3.4,0.00295,14481851,49254123,8944147640,10457223220,0.005505,10.906698,2014/6/30,2014/8/19,13.150908,2.059661,10.208942,1.071035,3.401972
sh600017,2014/10/24,3.38,3.43,3.35,3.39,-0.002941,15841863,53672676,8917841330,10426466680,0.006022,10.874618,2014/6/30,2014/8/19,13.112227,2.053603,10.178915,1.067885,3.391966
sh600017,2014/10/23,3.36,3.41,3.27,3.4,0.011905,25893573,86630584,8944147640,10457223220,0.009843,10.906695,2014/6/30,2014/8/19,13.150904,2.059661,10.208939,1.071035,3.401971
sh600017,2014/10/22,3.4,3.44,3.35,3.36,-0.011765,16409601,55703512,8838922380,10334197060,0.006238,10.778378,2014/6/30,2014/8/19,12.996185,2.035429,10.088832,1.058434,3.361947
sh600017,2014/10/21,3.45,3.49,3.4,3.4,-0.017341,17391206,59811364,8944147640,10457223220,0.006611,10.906695,2014/6/30,2014/8/19,13.150905,2.059661,10.20894,1.071035,3.401971
sh600017,2014/10/20,3.35,3.47,3.35,3.46,0.032836,33833610,116032113,9101985540,10641762450,0.012861,11.099166,2014/6/30,2014/8/19,13.382979,2.096008,10.389097,1.089936,3.462006
sh600017,2014/10/17,3.42,3.43,3.28,3.35,-0.023324,33539677,112481112,8812616060,10303440520,0.01275,10.746301,2014/6/30,2014/8/19,12.957506,2.029371,10.058806,1.055284,3.351941
sh600017,2014/10/16,3.48,3.52,3.43,3.43,-0.022792,26406685,91840760,9023066590,10549492840,0.010038,11.002933,2014/6/30,2014/8/19,13.266945,2.077835,10.29902,1.080486,3.431989
sh600017,2014/10/15,3.53,3.53,3.46,3.51,-0.005666,22130002,77369373,9233517130,10795545150,0.008412,11.259561,2014/6/30,2014/8/19,13.576378,2.126297,10.539231,1.105686,3.512035
sh600017,2014/10/14,3.51,3.57,3.5,3.53,0,24396033,86026224,9286129760,10857058220,0.009274,11.323721,2014/6/30,2014/8/19,13.65374,2.138414,10.599286,1.111987,3.532048
sh600017,2014/10/13,3.56,3.58,3.47,3.53,-0.011204,34067658,119964335,9286129760,10857058220,0.01295,11.323721,2014/6/30,2014/8/19,13.65374,2.138414,10.599286,1.111987,3.532048
sh600017,2014/10/10,3.6,3.62,3.56,3.57,-0.013812,33259025,119069334,9391355030,10980084380,0.012643,11.45203,2014/6/30,2014/8/19,13.808449,2.162644,10.719386,1.124587,3.572069
sh600017,2014/10/9,3.64,3.66,3.57,3.62,-0.005495,40263961,145444954,9522886610,11133867070,0.015306,11.61242,2014/6/30,2014/8/19,14.001843,2.192933,10.869516,1.140337,3.622098
sh600017,2014/10/8,3.62,3.68,3.58,3.64,0.013928,48279862,174991431,9575499240,11195380150,0.018353,11.676583,2014/6/30,2014/8/19,14.079208,2.205049,10.929574,1.146638,3.642111
sh600017,2014/9/30,3.59,3.64,3.55,3.59,0.002793,33464484,119873803,9443967660,11041597460,0.012721,11.516186,2014/6/30,2014/8/19,13.885807,2.174759,10.779438,1.130887,3.592081
sh600017,2014/9/29,3.57,3.64,3.56,3.58,0.005618,35711768,128299832,9417661340,11010840920,0.013575,11.484111,2014/6/30,2014/8/19,13.847132,2.168702,10.749415,1.127737,3.582076
sh600017,2014/9/26,3.56,3.64,3.53,3.56,-0.008357,44266725,158241391,9365048710,10949327840,0.016827,11.419953,2014/6/30,2014/8/19,13.769773,2.156586,10.689362,1.121437,3.562064
sh600017,2014/9/25,3.5,3.74,3.47,3.59,0.025714,95299894,343769733,9443967660,11041597460,0.036227,11.516194,2014/6/30,2014/8/19,13.885817,2.174761,10.779446,1.130888,3.592083
sh600017,2014/9/24,3.48,3.51,3.44,3.5,0.002865,33760402,117308252,9207210810,10764788610,0.012834,11.22749,2014/6/30,2014/8/19,13.537708,2.120241,10.509212,1.102537,3.502032
sh600017,2014/9/23,3.47,3.52,3.44,3.49,0,28334191,98593058,9180904490,10734032070,0.010771,11.195416,2014/6/30,2014/8/19,13.499033,2.114184,10.479189,1.099387,3.492027
sh600017,2014/9/22,3.44,3.55,3.42,3.49,0.002874,43234105,150661506,9180904490,10734032070,0.016435,11.195416,2014/6/30,2014/8/19,13.499033,2.114184,10.479189,1.099387,3.492027
sh600017,2014/9/19,3.5,3.52,3.43,3.48,-0.016949,41389127,143475607,9154598180,10703275530,0.015734,11.163332,2014/6/30,2014/8/19,13.460348,2.108125,10.449158,1.096237,3.48202
