code,mean,Buy,Sell,mainBuy,mainSell
sh600000,2618.94604208,2553501616.67,1526859487.69,1572930713.09,911529855.54
sh600004,1474.86478609,117431156.82,95930034.3,39174909.94,48459019.54
sh600005,2541.37390013,578201496.85,437062850.99,334554102.73,258789320.98
sh600006,1796.76060136,530193937.83,556654921.22,285506535.58,286650733.75
sh600007,1313.52219196,57562279.84,76067521.11,18207031.84,26209919.86
sh600008,1225.70878803,428425678.76,365037483.1,131796700.11,114012137.08
sh600009,1061.71431679,325903663.9,227381163.82,91484294.39,71696959.62
sh600010,3028.97871869,1800087261.04,1693024908.01,1142944720.94,1055836376.58
sh600011,2099.19845055,454065947.06,320327154.35,220776258.97,177123427.56
sh600012,1785.26044098,300455978.07,189287354.18,134657026.49,88713916.32
sh600015,2152.57245105,1091568768.75,583390283.92,560322301.5,289411821.64
sh600016,3469.42084134,2140460647.18,1118306912.1,1487339040.95,733525920.7
sh600017,2506.65345436,279022436.74,172028684.46,156225511.88,96581179.07
sh600018,1903.91566671,767330966.09,578707755.39,355385489.31,272078814.39
sh600019,2506.5654423,724183621.33,630423549.32,404257198.95,357971796.08
sh600020,1682.83603928,382104027.28,284954075.11,165705814.79,122174028.75
sh600021,825.508779824,1125689671.38,1249006410.71,302135859.18,319926865.49
